Main food description,Portion weight (g),Portion description,Energy(kcal),Protein(g),Carbohydrate(g),Sugar(g),"Fiber,total dietary (g)",Total Fat(g),"Fatty acids, total saturated(g)","Fatty acids, total monounsaturated(g)","Fatty acids,total polyunsaturated (g)",Cholestrol(mg),Retinol(mcg),"Vitamin A, RAE(mcg_RAE)","Carotene,alpha (mcg)","Carotene,beta (mcg)","Cryptoxanthin,beta (mcg)",Lycopene(mcg),Lutein + zeaxanthin(mcg),Thiamin(mg),Riboflavin(mg),Niacin(mg),Vitamin B-6(mg),Folic acid(mcg),"Folate, food(mcg)","Folate,DFE (mcg_DFE)","Folate,total (mcg)","choline,total (mcg)",Vitamin B-12(mcg),"Vitamin B-12,added",Vitamin C(mg),Vitamin D (D2 + D3)(mcg),Vitamin E(alpha-tocopherol) (mg),"Vitamin E,added",Vitamin K(phylloquinone) (mcg),Calcium(mg),phosphorus(mg),Magnesium(mg),Iron(mg),Zinc(mg),Copper(mg),Selenium(mcg),Potassium(mg),Sodium(mg),Caffeine(mg),Theobromine(mg),Alcohol(g),4:0(g),6:0(g),8:0(g),10:0(g),12:0(g),14:0(g),16:0(g),18:0(g),16:1(g),18:1(g),20:1(g),22:1(g),18:2(g),18:3(g),18:4(g),20:4(g),20:5 n-3(g),22:5 n-3(g),22:6 n-3(g),Water(g)
"Chocolate beverage powder, light, dry mix, not reconstituted",10,1 tablespoon,35,0.909,6.831,2.727,0.91,0.45,0,0.2119,0.1831,0,0,0,0,0,0,0,0,0.15,0.035,2.56,0.1818,0,0.7,0.7,0.7,26.69,0,0,5.45,0,0,0,0,90.9,50,41,0.327,1.364,0.1818,2.18,170.5,50,0.1,0,0,0,0,0,0,0,0,0,0,0.0055,0.2045,0,0,0.1624,0.0203,0,0,0,0,0,0.74
"Strawberry beverage powder, dry mix, not reconstituted",10,1 tablespoon,38.9,0.01,9.91,9.545,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.011,0.0073,0.0002,0,0,0,0,0.01,0,0,0.03,0,0,0,0,0.4,0.5,0.1,0.044,0,0,0.05,0.6,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
"Coffee creamer, liquid, fat free",240,1 cup,170.4,1.92,21.84,21.84,0,8.4,2.1504,4.872,1.008,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672,0,2.16,2.4,180,0,1.344,0.12,0,2.16,424.8,144,0,0,0,0,0,0,0,0,0.0432,1.092,1.0176,0,4.872,0,0,0.9576,0.0504,0,0,0,0,0,206.88
"Coffee creamer, liquid, fat free, flavored",240,1 cup,369.6,1.44,76.128,76.272,0,6.48,1.6128,3.6528,0.756,0,0,0,0,4.8,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0.504,0,1.68,2.4,134.4,0,1.032,0.096,0.0048,1.92,319.2,108,0,0,0,0,0,0,0,0,0.0336,0.8184,0.7632,0,3.6528,0,0,0.7176,0.0384,0,0,0,0,0,155.184
"Coffee creamer, liquid, fat free, sugar free, flavored",240,1 cup,170.4,1.92,21.84,21.84,0,8.4,2.1504,4.872,1.008,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672,0,2.16,2.4,180,0,1.344,0.12,0,2.16,424.8,144,0,0,0,0,0,0,0,0,0.0432,1.092,1.0176,0,4.872,0,0,0.9576,0.0504,0,0,0,0,0,206.88
"Coffee creamer, liquid, sugar free, flavored",240,1 cup,170.4,1.92,21.84,21.84,0,8.4,2.1504,4.872,1.008,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672,0,2.16,2.4,180,0,1.344,0.12,0,2.16,424.8,144,0,0,0,0,0,0,0,0,0.0432,1.092,1.0176,0,4.872,0,0,0.9576,0.0504,0,0,0,0,0,206.88
"Coffee creamer, powder, fat free",94,1 cup,405.14,1.786,68.996,68.996,0,14.758,3.572,10.81,0.18612,0,0,0.94,0,8.46,0,0,0,0,0,0,0,0,0.94,0.94,0.94,2.162,0,0,0,0,0.2444,0,3.666,0.94,127.84,0,0.0282,0.0188,0.0094,0.752,847.88,215.26,0,0,0,0,0,0,0,0,0,1.0481,2.5286,0,10.81,0,0,0.18612,0,0,0,0,0,0,5.828
"Beans, NFS",185,1 cup,349.65,15.429,43.993,0.5735,15.355,13.098,1.84445,5.29285,5.0246,0,0,0,0,0,0,0,0,0.33485,0.0999,0.5957,0.30895,0,271.95,271.95,271.95,59.57,0,0,0.925,0,3.8665,0,17.945,72.15,249.75,94.35,3.626,1.739,0.3737,8.51,714.1,401.45,0,0,0,0,0,0,0,0,0.00555,1.38195,0.35335,0.04255,5.1615,0.0814,0,4.2735,0.7474,0,0,0,0,0,109.4275
"Beans, from dried, NS as to type, fat added",185,1 cup,349.65,15.429,43.993,0.5735,15.355,13.098,1.84445,5.29285,5.0246,0,0,0,0,0,0,0,0,0.33485,0.0999,0.5957,0.30895,0,271.95,271.95,271.95,59.57,0,0,0.925,0,3.8665,0,17.945,72.15,249.75,94.35,3.626,1.739,0.3737,8.51,714.1,401.45,0,0,0,0,0,0,0,0,0.00555,1.38195,0.35335,0.04255,5.1615,0.0814,0,4.2735,0.7474,0,0,0,0,0,109.4275
"Beans, from dried, NS as to type, no added fat",180,1 cup,250.2,16.056,45.792,0.594,16.02,1.116,0.2448,0.1998,0.4194,0,0,0,0,0,0,0,0,0.3492,0.1044,0.6192,0.3204,0,282.6,282.6,282.6,61.92,0,0,1.08,0,1.656,0,6.12,73.8,259.2,99,3.744,1.818,0.387,8.82,743.4,417.6,0,0,0,0,0,0,0,0,0,0.2358,0.0072,0,0.1998,0,0,0.1872,0.2304,0,0,0,0,0,113.886
